Customer ID,Credit Score,Country,Gender,Age,Tenure,Balance,Credit Card Status,Activty Status,Churn Status,Products,Age Groups,Credit Scores,Acc Balance,Min Churn Rate,Max Churn Rate,Target Churn Rate
15701354,699,France,Female,39,1,$0,Not Owned,Inactive,Not Churned,Prod 2,31-40,601-700,0,0,1,0.15
15690673,656,France,Female,39,6,$0,Owned,Inactive,Not Churned,Prod 2,31-40,601-700,0,0,1,0.15
15724944,663,France,Male,34,7,$0,Owned,Active,Not Churned,Prod 2,31-40,601-700,0,0,1,0.15
15624592,603,France,Male,31,8,$0,Owned,Active,Not Churned,Prod 2,31-40,601-700,0,0,1,0.15
15627000,610,France,Male,40,0,$0,Owned,Inactive,Not Churned,Prod 2,31-40,601-700,0,0,1,0.15
15777076,651,France,Male,36,7,$0,Owned,Inactive,Not Churned,Prod 2,31-40,601-700,0,0,1,0.15
15785819,681,France,Male,38,3,$0,Owned,Active,Not Churned,Prod 2,31-40,601-700,0,0,1,0.15
15811490,627,France,Male,33,5,$0,Owned,Active,Not Churned,Prod 2,31-40,601-700,0,0,1,0.15
15803976,694,France,Female,31,10,$0,Owned,Inactive,Not Churned,Prod 2,31-40,601-700,0,0,1,0.15
15695699,687,France,Male,35,8,$0,Owned,Inactive,Not Churned,Prod 2,31-40,601-700,0,0,1,0.15
15674398,642,France,Male,38,3,$0,Not Owned,Inactive,Not Churned,Prod 2,31-40,601-700,0,0,1,0.15
15648064,649,France,Male,33,2,$0,Owned,Inactive,Not Churned,Prod 2,31-40,601-700,0,0,1,0.15
15758639,641,France,Male,37,7,$0,Owned,Inactive,Not Churned,Prod 2,31-40,601-700,0,0,1,0.15
15607170,699,France,Male,35,5,$0,Owned,Active,Not Churned,Prod 2,31-40,601-700,0,0,1,0.15
15703119,652,France,Male,38,6,$0,Owned,Active,Not Churned,Prod 2,31-40,601-700,0,0,1,0.15
15667215,678,France,Male,31,2,$0,Owned,Active,Not Churned,Prod 2,31-40,601-700,0,0,1,0.15
15645772,661,France,Male,33,9,$0,Owned,Active,Not Churned,Prod 2,31-40,601-700,0,0,1,0.15
15640059,606,France,Male,40,5,$0,Owned,Active,Not Churned,Prod 2,31-40,601-700,0,0,1,0.15
15699430,618,France,Female,35,10,$0,Owned,Inactive,Not Churned,Prod 2,31-40,601-700,0,0,1,0.15
15695846,684,France,Female,34,6,$0,Owned,Active,Not Churned,Prod 2,31-40,601-700,0,0,1,0.15
15675316,619,France,Female,38,3,$0,Not Owned,Active,Not Churned,Prod 2,31-40,601-700,0,0,1,0.15
15676521,696,France,Female,31,8,$0,Not Owned,Inactive,Not Churned,Prod 2,31-40,601-700,0,0,1,0.15
15792360,668,France,Male,32,7,$0,Owned,Active,Not Churned,Prod 2,31-40,601-700,0,0,1,0.15
15682639,642,France,Male,32,3,$0,Owned,Active,Not Churned,Prod 2,31-40,601-700,0,0,1,0.15
15767864,628,France,Male,33,6,$0,Not Owned,Inactive,Not Churned,Prod 2,31-40,601-700,0,0,1,0.15
