Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus,Country,Year,Decade,Decade Year,success
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",07-Apr-70,11:10:00,Cosmos-3M (11K65M),Cosmos 330,Retired,,Success, Russia,1970,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",11-Apr-70,17:00:00,Cosmos-3M (11K65M),Cosmos 332,Retired,,Success, Russia,1970,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",25-Apr-70,17:09:00,Cosmos-3M (11K65M),Cosmos 336 to 343,Retired,,Success, Russia,1970,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",17-Nov-70,,Cosmos-3M (11K65M),Cosmos 378,Retired,,Success, Russia,1970,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",02-Dec-70,04:00:00,Cosmos-3M (11K65M),Cosmos 381,Retired,,Success, Russia,1970,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",12-Dec-70,13:00:00,Cosmos-3M (11K65M),Cosmos 385,Retired,,Success, Russia,1970,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",16-Dec-70,04:30:00,Cosmos-3M (11K65M),Cosmos 387,Retired,,Success, Russia,1970,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",04-Jun-71,,Cosmos-3M (11K65M),Cosmos 426,Retired,,Success, Russia,1971,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",07-Sep-71,01:15:00,Cosmos-3M (11K65M),Cosmos 436,Retired,,Success, Russia,1971,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",10-Sep-71,03:38:00,Cosmos-3M (11K65M),Cosmos 437,Retired,,Success, Russia,1971,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",13-Oct-71,13:41:00,Cosmos-3M (11K65M),Cosmos 444 to 451,Retired,,Success, Russia,1971,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",20-Nov-71,18:00:00,Cosmos-3M (11K65M),Cosmos 457,Retired,,Success, Russia,1971,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",30-Nov-71,16:39:00,Cosmos-3M (11K65M),Cosmos 460,Retired,,Success, Russia,1971,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",15-Dec-71,04:31:00,Cosmos-3M (11K65M),Cosmos 465,Retired,,Success, Russia,1971,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",17-Dec-71,13:00:00,Cosmos-3M (11K65M),Cosmos 468,Retired,,Success, Russia,1971,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",25-Feb-72,07:52:00,Cosmos-3M (11K65M),Cosmos 475,Retired,,Success, Russia,1972,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",22-Mar-72,20:31:00,Cosmos-3M (11K65M),Cosmos 479,Retired,,Success, Russia,1972,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",25-Mar-72,02:20:00,Cosmos-3M (11K65M),Cosmos 480,Retired,,Success, Russia,1972,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",23-Jun-72,09:24:00,Cosmos-3M (11K65M),Cosmos 494,Retired,,Success, Russia,1972,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",10-Jul-72,06:15:00,Cosmos-3M (11K65M),Cosmos 500,Retired,,Success, Russia,1972,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",20-Jul-72,18:10:00,Cosmos-3M (11K65M),Cosmos 504 to 511,Retired,,Success, Russia,1972,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",16-Aug-72,13:40:00,Cosmos-3M (11K65M),Cosmos 514,Retired,,Success, Russia,1972,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",29-Sep-72,20:19:00,Cosmos-3M (11K65M),Cosmos 521,Retired,,Success, Russia,1972,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",01-Nov-72,12:08:00,Cosmos-3M (11K65M),Cosmos 528 to 535,Retired,,Success, Russia,1972,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",21-Dec-72,02:05:00,Cosmos-3M (11K65M),Cosmos 539,Retired,,Success, Russia,1972,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",25-Dec-72,23:05:00,Cosmos-3M (11K65M),Cosmos 540,Retired,,Success, Russia,1972,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",28-Aug-73,10:08:00,Cosmos-3M (11K65M),Cosmos 582,Retired,,Success, Russia,1973,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",08-Sep-73,01:50:00,Cosmos-3M (11K65M),Cosmos 585,Retired,,Success, Russia,1973,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",14-Sep-73,00:31:00,Cosmos-3M (11K65M),Cosmos 586,Retired,,Success, Russia,1973,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",02-Oct-73,21:46:00,Cosmos-3M (11K65M),Cosmos 588 to 595,Retired,,Success, Russia,1973,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",30-Oct-73,19:00:00,Cosmos-3M (11K65M),Intercosmos-10,Retired,,Success, Russia,1973,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",27-Nov-73,00:08:00,Cosmos-3M (11K65M),Cosmos 610,Retired,,Success, Russia,1973,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",04-Dec-73,15:00:00,Cosmos-3M (11K65M),Cosmos 614,Retired,,Success, Russia,1973,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",19-Dec-73,09:43:00,Cosmos-3M (11K65M),Cosmos 617 to 624,Retired,,Success, Russia,1973,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",29-Dec-73,04:12:00,Cosmos-3M (11K65M),Cosmos 627,Retired,,Success, Russia,1973,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",17-Jan-74,10:07:00,Cosmos-3M (11K65M),Cosmos 628,Retired,,Success, Russia,1974,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",06-Feb-74,00:33:00,Cosmos-3M (11K65M),Cosmos 631,Retired,,Success, Russia,1974,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",23-Mar-74,14:14:00,Cosmos-3M (11K65M),Cosmos 641 to 648,Retired,,Success, Russia,1974,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",29-Apr-74,17:10:00,Cosmos-3M (11K65M),Cosmos 650,Retired,,Success, Russia,1974,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",21-May-74,06:15:00,Cosmos-3M (11K65M),Cosmos 655,Retired,,Success, Russia,1974,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",18-Jun-74,13:00:00,Cosmos-3M (11K65M),Cosmos 660,Retired,,Success, Russia,1974,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",21-Jun-74,09:03:00,Cosmos-3M (11K65M),Cosmos 661,Retired,,Success, Russia,1974,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",29-Aug-74,15:00:00,Cosmos-3M (11K65M),Cosmos 675,Retired,,Success, Russia,1974,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",11-Sep-74,17:40:00,Cosmos-3M (11K65M),Cosmos 676,Retired,,Success, Russia,1974,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",19-Sep-74,14:57:00,Cosmos-3M (11K65M),Cosmos 677 to 684,Retired,,Success, Russia,1974,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",11-Oct-74,11:29:00,Cosmos-3M (11K65M),Cosmos 687,Retired,,Success, Russia,1974,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",18-Oct-74,22:36:00,Cosmos-3M (11K65M),Cosmos 689,Retired,,Success, Russia,1974,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",31-Oct-74,10:00:00,Cosmos-3M (11K65M),Intercosmos-12,Retired,,Success, Russia,1974,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",28-Feb-75,14:01:00,Cosmos-3M (11K65M),Cosmos 711 to 718,Retired,,Success, Russia,1975,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",19-Apr-75,07:58:00,Cosmos-3M (11K65M),Aryabhata,Retired,,Success, Russia,1975,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",12-Feb-76,13:00:00,Cosmos-3M (11K65M),Cosmos 803,Retired,,Success, Russia,1976,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",02-Jun-76,22:30:00,Cosmos-3M (11K65M),Cosmos 823,Retired,,Success, Russia,1976,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",15-Jun-76,13:19:00,Cosmos-3M (11K65M),Cosmos 825 to 832,Retired,,Success, Russia,1976,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",29-Jun-76,08:12:00,Cosmos-3M (11K65M),Cosmos 836,Retired,,Success, Russia,1976,1970,1970,#ERROR
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",27-Jul-76,12:00:00,Cosmos-3M (11K65M),Intercosmos-16,Retired,,Success, Russia,1976,1970,1970,#ERROR
